iter	Passed	Remaining
0	0	66
1	1	65
2	1	60
3	2	56
4	2	56
5	3	56
6	4	57
7	4	56
8	5	55
9	6	54
10	6	53
11	7	53
12	7	52
13	8	51
14	8	50
15	9	50
16	10	49
17	10	48
18	11	48
19	11	47
20	12	46
21	12	45
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	41
28	16	41
29	17	40
30	17	39
31	18	39
32	19	38
33	19	38
34	20	38
35	21	37
36	21	37
37	22	36
38	23	36
39	23	35
40	24	34
41	24	33
42	25	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	29	29
50	29	28
51	30	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	23
60	35	22
61	36	22
62	36	21
63	39	22
64	40	21
65	41	21
66	42	20
67	43	20
68	43	19
69	44	19
70	45	18
71	46	18
72	47	17
73	48	17
74	49	16
75	50	16
76	51	15
77	52	14
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	62	6
91	63	5
92	64	4
93	65	4
94	66	3
95	67	2
96	67	2
97	68	1
98	68	0
99	69	0
